mae_linear_ortho,mae_linear_dr,mae_forest_dr,mae_x_leaner,mae_s_leaner,mae_t_leaner,incremental,causal_forest,bart,mea_knn,linear_regression,mea_tmle,incremental_con
2.36,1.76,1.83,0.02,1.0,0.08,0.15553365160308585,0.16777867153234194,0.0948787589643354,0.03322908664724533,0.06646990254738627,0.09009796873696096,0.049938323166416776
2.46,1.63,1.91,0.05,1.22,0.01,0.2208576458355882,0.1434770974739843,0.2934017031100238,0.0557599664500823,0.1422028880623678,0.15411524633083173,0.049925225699678055
2.49,1.76,2.31,0.07,2.02,0.09,0.3064043718875191,0.22222136260885783,0.2336193456043012,0.22276186957439625,0.2142556619767948,0.23609882043477004,0.049905829639355304
2.65,2.32,1.95,0.14,0.44,0.08,0.1711391349861362,0.1773713524325835,0.35755213794416507,0.22498902093400996,0.39869661719704474,0.10217180674136817,0.04990688078282979
2.3,2.07,2.43,0.06,0.73,0.05,0.07582280495320592,0.36136685057333207,0.18665864121613085,0.006232873724425048,0.0081030940579776,0.024783449474844232,0.049881314408355415
2.4,1.87,2.08,0.12,1.43,0.04,0.0009988026841227793,0.24752539680884933,0.18172785366715605,0.06872925655438067,0.06290566452893609,0.15192292603852042,0.016212997438326937
2.4,2.09,2.69,0.32,1.75,0.23,0.37379849012256194,0.1479093965836964,0.3128898832362599,0.2806523195093944,0.24964618188802756,0.31766897166781494,0.04995220605499906
2.36,1.95,2.05,0.1,1.29,0.09,0.0029193463306906864,0.12713484931565455,0.19705219819107356,0.07048257077954956,0.010100695785193903,0.02716616058793697,0.04989995259363589
10.74,5.96,4.99,1.01,2.34,0.17,0.0009850716210841881,5.465906302565584,4.1926247497054865,0.5362620503976991,4.932733840053801,0.3535947532017438,0.04967126868239724
3.48,1.68,2.02,0.04,1.14,0.24,0.0009910032516105005,1.6850223980019283,0.9907155705343458,0.011283101203800605,0.73174936779197,0.34425223203096156,0.049831655454699586
2.27,2.49,1.81,0.03,0.64,0.07,0.0233856109940076,0.46740350991539215,0.11688274400136534,0.27606441035602813,0.04387196351142508,0.014874745255108124,0.04989695868901434
2.71,2.19,2.48,0.09,0.83,0.07,0.0010005573940885526,0.4331804929221308,0.636326672752602,0.18927949527224497,0.5303648613526724,0.04551872937682333,0.04992190550164466
13.35,10.08,8.45,0.79,2.39,0.32,2.0310432002566365,6.820223625516542,4.4564896740394015,0.28199967559138983,4.390231469201906,3.532319840104778,0.04978641981935006
2.31,2.23,1.74,0.15,0.89,0.02,0.03282725494427918,0.24139950557581047,0.15171380585049343,0.05456358914442205,0.27508551240735946,0.008661474833392635,0.04991828500408024
2.17,2.32,1.87,0.16,1.47,0.23,0.0009959899239384562,0.5155134703721358,0.22330165542405522,0.294795362339594,0.3189539968770059,0.11725470078718869,0.0498870668914031
2.93,2.43,1.88,0.07,1.54,0.15,0.13626556359345354,0.43150467660927116,0.4289941421521828,0.1252644247491448,0.41452394989403096,0.08890074671452908,0.04995338427068674
2.29,1.8,2.01,0.1,1.32,0.13,0.0009906793343286147,0.8740317519663834,0.22217787276091983,0.3229292975314797,0.37131674469780807,0.2484182174565861,0.04993019583202507
2.58,1.61,1.94,0.13,1.1,0.15,0.236830257720948,0.18959313106762732,0.34121001151186947,0.14370610362407277,0.10325921556914563,0.19596745311507613,0.0499406730729306
2.5,1.7,2.11,0.2,1.4,0.01,0.11676381066456898,0.7945191877393905,0.35634842864123506,0.06874421411196252,0.048920688656071576,0.0020947995629994054,0.04990571648056896
2.59,2.59,1.84,0.14,1.72,0.08,0.16744678345755037,0.24331616311202175,0.41984620280787555,0.3547587148228404,0.34377129998893885,0.12366521457496482,0.04991012234940495
1.92,1.45,1.65,0.34,0.9,0.23,0.08176214485495148,1.3217556167192495,0.15751730035028855,0.2195143660481893,0.5034128091989158,0.21782755722962577,0.0074711777736404805
2.32,1.92,1.8,0.17,1.22,0.01,0.14517283610043297,0.2776209908037526,0.169974106697524,0.061854811190575454,0.09478267433225884,0.09850801561626765,0.049899331672598635
2.48,2.32,1.24,0.1,1.87,0.07,0.0009949078543112222,0.6278066017254647,0.44179672839867656,0.003184377105647229,0.4254200944843598,0.27691871715878413,0.04989282311684917
2.48,2.72,2.03,0.19,0.9,0.03,0.0009995801755371403,0.49162154837603467,0.2852105782529648,0.34362767278524453,0.03122868632858644,0.17890911314385516,0.049922553328251684
2.88,2.49,2.34,0.17,2.04,0.09,0.00435348705641303,0.681723324639794,0.3361602047929644,0.13171306384539783,0.5158579459753607,0.07879796083661539,0.005754106594432429
3.74,2.18,2.32,0.39,0.11,0.25,0.8052698274789281,2.205981117485984,1.7155459791362984,0.8738971791462093,1.3644718314535336,1.9812632647296216,0.04980853966553678
1.98,1.55,1.94,0.21,0.86,0.09,0.015612192553117854,0.3145431210240206,0.20692609786362537,0.10294885132580323,0.31190108638072633,0.22624243824518597,0.049942935087882834
11.81,5.02,6.8,1.99,2.48,0.48,1.2287058284667545,7.026588260411248,6.870688546400475,1.4244542458850162,8.919013773982606,3.0410710983534024,0.04932861557349
1.92,2.27,1.79,0.07,1.53,0.03,0.000997384236174348,0.7221304369717312,0.1376727663818591,0.0750041478061827,0.06330099722744764,0.19613868993437888,0.04988154186426508
2.61,2.28,2.22,0.05,1.05,0.01,0.2119228892773357,0.46550693918746244,0.37219504287392136,0.28076269868602655,0.37886704315911146,0.09894102117746684,0.049938401652215525
2.69,2.04,2.23,0.07,1.86,0.02,0.021050091881940958,0.5806128833161583,0.31714829009016565,0.24762624951411816,0.26727092736046565,0.051194975231600104,0.0005679956183382018
2.35,2.5,2.06,0.01,0.9,0.01,0.12054264687775573,0.1570653121612331,0.10783064114360963,0.04974713104024753,0.044820939980080965,0.040164312972625016,0.04991629410535081
2.51,1.88,1.87,0.14,1.68,0.14,0.0009914737557732423,0.5670366020868869,0.22448702033769763,0.03441065446506286,0.03461454555241783,0.18101985523110997,0.02196219147252343
6.48,2.56,3.48,0.4,0.61,0.51,0.6232213537616493,4.825275953624755,1.3335940102420807,0.24794296929734472,1.4008316979359057,1.780400274168561,0.04960621301276369
1.92,1.76,2.61,0.23,1.02,0.18,0.030720692660518356,0.9723698271085865,0.09025537685176799,0.4540392435013696,0.04111556600665889,0.011629850406265074,0.0054422755854237614
2.86,2.34,2.36,0.0,0.43,0.01,0.0017020541871435313,0.8072017573841768,0.05065613987431039,0.49941939167217964,0.67132186522793,0.35249567161071393,0.04990544091056481
2.15,1.67,1.54,0.09,0.78,0.18,0.0009852641277210417,1.677077055701579,0.9067754158482955,0.176075062893438,0.3428557122504552,0.4985176624862886,0.020092165961994368
2.39,1.91,1.58,0.17,1.13,0.1,0.0009965531006983497,0.4976161712462801,0.06681429038169195,0.05843572393419727,0.000499095768747182,0.15076278943646315,0.003108783889935296
5.26,2.81,3.15,0.2,1.23,0.06,0.000998266726573327,1.0531879674730922,1.8048987130525518,0.21201434859792023,2.2542995782759423,0.2207972693608511,0.04987395820646778
2.69,2.94,2.21,0.15,1.3,0.15,0.185695224187306,0.8386210313617974,0.7339227529252961,0.24170811242871348,0.7594264857357,0.08915861721127794,0.04990156218148112
2.54,3.21,1.8,0.08,1.18,0.01,0.017999547025899787,0.2263722233557557,0.33363681889564223,0.046902382810646515,0.21270232528249267,0.06478801172438065,0.04990308575511193
2.45,1.78,1.59,0.13,1.18,0.03,0.0009951633930058712,0.13950354964512446,0.20680218330279576,0.0050293111445429695,0.09801553562304965,0.1808335039557969,0.049939733582347046
2.7,2.18,2.45,0.12,0.81,0.08,0.04150443440889351,0.18160768109090064,0.4928168072401107,0.1671197910776181,0.4904247447976049,0.07467289982097025,0.04994415046358558
2.3,1.77,1.8,0.15,0.86,0.13,0.000995359325628442,0.5515967400229806,0.13538023935391674,0.25817672549501314,0.2139936141594232,0.13255786779605083,0.038053957116369386
1.89,1.82,1.01,0.25,0.05,0.05,0.14093330342442112,0.5715834995741189,0.2539011617892668,0.21439942483012864,0.726792429611403,0.4213211359277307,0.0498976490831855
3.17,2.68,2.66,0.31,2.49,0.11,0.06399642294311114,0.7662009707934772,0.8328979531447018,0.030290560160123547,0.8441736978690253,0.09651452958538709,0.049874081374420065
3.38,2.77,2.43,0.29,2.61,0.09,0.0734706676317316,0.7687554038971864,0.9151303421553063,0.4156807427101459,1.1037549600279428,0.04993349494734911,0.049879554792304326
2.0,1.76,2.26,0.06,2.06,0.02,0.000510617793293644,0.2970471293677175,0.10522776467876493,0.2414985420551954,0.07381639231080861,0.09651628581651828,0.010157590126630645
2.53,2.32,2.06,0.2,0.86,0.06,0.0009979616039945682,0.7174050297512027,0.3731036305690161,0.07214732706195726,0.3419543243434484,0.16724848640355638,0.049879536817072356
2.23,1.93,1.87,0.06,1.0,0.06,0.07219893131763966,0.1420007906346461,0.09415540141662593,0.22156840767674968,0.1272838176809037,0.03876089938136085,0.04991926328135188
2.49,1.53,1.95,0.13,0.84,0.11,0.005559338204681019,0.5862883555840623,0.19588533794311758,0.18213958203872416,0.16266926650427127,0.22605782662822183,0.04180398331714841
2.56,2.03,2.07,0.06,1.47,0.23,0.0009980529027941998,0.3781575856941499,0.44156285810457163,0.31611898136823813,0.4286296572580026,0.1797577274196014,0.049867681495568306
4.98,2.9,2.4,0.17,1.28,0.18,0.3879939425471255,2.418163531919305,1.3083491036350834,0.34412229512448267,1.5432716483256588,0.5965101245479492,0.04968504447607547
2.9,2.21,2.05,0.39,0.56,0.05,0.0009982390631586568,1.4210071468226797,0.7373857769841585,0.1333820000526318,0.876274067495391,0.17071964547169305,0.04991378522399348
2.02,1.95,1.77,0.09,1.51,0.12,0.020570553331812125,0.08730287522846147,0.10220139511785664,0.045083634012204055,0.12892767113750025,0.030613702839712875,0.04992035159110175
2.54,2.36,2.45,0.14,1.89,0.1,0.16033365586020665,0.0998104373191051,0.21331815774313645,0.21877248716727138,0.11350945516431032,0.13230338112658568,0.04994460231714992
2.39,2.2,1.81,0.11,1.44,0.1,0.0009986134635209254,0.3872011044722994,0.01890643570565853,0.21935535419677787,0.07824045436164884,0.1390979625567681,0.035800765364376375
2.52,2.28,2.35,0.39,1.8,0.11,0.37971035180147883,0.08254398775299165,0.7281713442063653,0.010076432297174698,0.6926942006588375,0.2435190199518793,0.049927903117031214
2.59,2.22,1.29,0.2,1.54,0.1,0.3104991924487672,0.39321703120250096,0.3655286764932093,0.20412385736545868,0.22099160701715803,0.2179841088041039,0.0499384962027003
2.83,2.4,2.38,0.35,1.24,0.21,0.2866382312654294,1.6606452280241704,0.5795378861072877,0.2832999662443103,0.6801775238751184,0.45055505155845976,0.04982776158943514
2.58,2.01,1.93,0.02,1.31,0.02,0.12027066583525903,0.38515270820063563,0.1757385733296939,0.014069496090610478,0.09367252950956617,0.04343893152148137,0.049913930803565876
2.12,2.12,2.61,0.02,0.73,0.05,0.0009996295459506754,0.31582962245265955,0.06402190262790741,0.07040121829586043,0.02750162431157621,0.05299539380889362,0.04989089325173657
2.74,2.47,2.46,0.27,0.48,0.06,0.12432521171778088,0.5786475581593891,0.5816624038169826,0.2799037966863409,0.5613364102744196,0.03884380700244083,0.04990596561677396
1.56,1.12,1.88,0.12,1.47,0.09,0.0009979078965405286,0.3251878129359209,0.5934578986839405,0.05861111179112166,0.7552770772714572,0.08167470563607537,0.03995491633405246
2.56,2.21,1.83,0.01,0.9,0.08,0.0009918950918823555,0.8547857834516668,0.06380845104066513,0.09765420184522622,0.4046647653091089,0.24581408817357708,0.021091170712215224
2.48,1.82,2.11,0.04,1.89,0.11,0.0009997123081344483,0.4325679845923558,0.2672107635385914,0.17110620643016183,0.22374692000575536,0.1130105650734059,0.049919628051917186
2.34,2.28,2.33,0.02,1.75,0.07,0.10303013095606728,0.3249156692243167,0.09447277027613454,0.014564133129283618,0.015128860060952043,0.012239696673902678,0.0498972661047965
8.68,4.18,4.25,0.59,1.5,0.23,0.0009951548406839095,4.01590155204787,5.252882496269111,0.8914771975348401,5.285017460709735,0.7981874772347517,0.04960587272774575
2.0,1.7,1.72,0.01,1.19,0.11,0.01584068743108924,0.2547409446536082,0.14176578058650158,0.07051232113078099,0.043765590312795144,0.024477741981504764,0.04993391583802431
2.57,1.91,2.17,0.03,1.37,0.05,0.04310007325503351,0.21301067283646447,0.1332566941372182,0.005778640040108307,0.054445932676461695,0.008867161808537638,0.04993747843132068
4.59,2.23,2.72,0.08,2.03,0.09,0.0009906409973785557,1.2822807024817067,1.9538945724780512,0.3115397967603295,2.129686202201433,0.4844874113357891,0.04984037600581548
2.32,1.83,1.93,0.05,1.33,0.0,0.04810380007966275,0.14859024723412695,0.11298222751589115,0.041549074203043546,0.01212269079713657,0.023353874102825856,0.04409098417304014
2.17,1.61,1.76,0.04,1.38,0.08,0.0009990768651202409,0.11243746857360426,0.013961999352935628,0.056250025683727944,0.1318257522184081,0.06357809840611894,0.04991707838775028
2.4,1.5,2.0,0.01,0.69,0.0,0.11191409962974097,0.03144616245182874,0.08928857447086491,0.17559344813954647,0.03370487079594664,0.018848307740770842,0.04994319292899396
2.25,1.76,2.07,0.1,0.84,0.07,0.2045744143362045,0.01724214381726652,0.16225202890861867,0.015892830202397068,0.05850657922246594,0.16381001299940667,0.04994120094262877
3.49,3.36,2.54,0.25,1.6,0.1,0.0009979116055136572,0.6743110815583622,0.7314376271473817,0.0010512226236496502,0.926641933742129,0.15703580173692444,0.04984405461492969
2.53,2.47,1.7,0.18,1.72,0.2,0.22499383786605787,0.013365623844959984,0.28189666107449485,0.3211926139639458,0.24579739537363476,0.1855047494975275,0.04988893189543653
2.55,1.81,1.96,0.18,0.88,0.17,0.0004947758697673166,0.21126617075483178,0.012178406975005274,0.22527730242777988,0.11074032473579898,0.06094140702545481,0.049933518844905045
2.52,2.36,2.36,0.06,0.87,0.06,0.23587885336437786,0.31399066794680763,0.26943170718014997,0.029664637851394282,0.22373460153092228,0.1515929023524043,0.0499629516187019
2.36,1.24,1.87,0.22,0.41,0.14,0.0009946566875322915,0.2691665527476821,0.019867490872779392,0.16885349053552767,0.10678944480160046,0.16681862014660753,0.04992337623175169
8.55,2.83,5.07,1.7,1.28,0.04,0.0009833985209066753,4.1378402994979275,4.886239673035021,0.5336029493432282,5.339183178088435,0.8175114776486101,0.049564898152430814
1.9,0.58,0.7,0.11,0.71,0.18,0.7961443337219585,1.3278961108434926,0.21836941101163587,0.18620877014306858,0.34674062968593855,0.8751782697280595,0.04989697199731857
2.47,2.35,2.41,0.05,1.21,0.13,0.140977062507063,0.5155570542587915,0.10977876098643602,0.14602238907847997,0.42787342449184607,0.04253669831788365,0.049892097158062754
1.3,0.95,0.44,0.09,0.91,0.13,1.3664587102224464,1.0489215891665329,0.7213348825201313,0.20796060504959968,0.6896289725559943,1.6002909973642487,0.04985191950236878
0.6,1.59,2.52,0.79,2.17,0.14,3.387462848097644,3.4908529811127753,4.0392206843703,0.009682057027918911,3.6204320049821925,3.244035074105877,0.049817788437317434
6.36,2.89,3.59,0.32,2.52,0.29,0.12216202762788253,2.216509999088009,2.353027415266191,0.030580920100651277,1.633157193354208,0.5860573759204346,0.049581780126572106
3.28,2.79,3.01,0.41,1.8,0.18,0.4197911888740604,0.5025311772042036,1.094944075306659,0.4139624016025749,1.055864451144168,0.28872571124928736,0.049906547769769105
2.38,2.65,2.18,0.01,1.26,0.13,0.22262510625395215,0.05805561641625845,0.16600636975848637,0.2349958187454444,0.017406574154313237,0.17815583650836286,0.0499380791286792
2.25,1.75,2.43,0.07,0.89,0.02,0.0009948398533285996,0.47541306495753366,0.016512169662582732,0.00135475466326751,0.06749557250147697,0.22299822774785882,0.04990614878484578
2.23,1.74,1.98,0.25,1.39,0.27,0.0009985791135789235,0.1706680142904835,0.06376857311951323,0.27234354143856176,0.020268671051634435,0.11680914728960268,0.04987840484400996
2.32,1.91,1.94,0.33,1.34,0.3,0.4053255253079464,0.21738935214845867,0.3600093037675638,0.33380521151935927,0.21781212748193202,0.37823410386347067,0.049934195745427346
2.07,1.7,1.38,0.24,0.32,0.11,0.21997127737119193,0.2670309882608719,0.21373548646980378,0.20359732375486805,0.35803817783944414,0.30140845174695574,0.05000737182432058
7.89,5.15,2.59,0.28,2.69,0.11,0.0005216733904358506,3.786170505642785,3.460475029514334,0.8479225332997871,4.3735135387422535,0.46043638300115397,0.04981972502657328
2.62,1.65,2.27,0.05,1.26,0.09,0.0010001346473211825,0.24091290664375453,0.27787254856103605,0.1443723353891615,0.16770845996679018,0.04259890537918487,0.049919637345999135
2.18,1.82,2.11,0.18,1.12,0.07,0.0009920224768023012,0.533425404314467,0.03437696557607817,0.18402598220663569,0.22086878885881545,0.17818576093736338,0.0498458713434653
2.36,2.28,2.55,0.08,0.62,0.0,0.09861322410326956,0.26052157348566407,0.0981723428732959,0.22599851412726135,0.10005487388494849,0.05283217842605836,0.049886584683854096
2.51,2.67,1.76,0.03,0.92,0.11,0.04992187706761175,0.8043099883856968,0.34882068132924715,0.061419922978985575,0.34657689540275616,0.03925944943994697,0.04992651145827143
7.08,3.73,3.95,0.59,0.63,0.11,0.0009893941061340783,2.127586323400375,1.5620850815974032,0.19109670681998914,2.3084325652501425,0.566521694142323,0.049716881043723404
2.41,1.95,2.21,0.23,1.63,0.05,0.10122897173675227,0.623414885035781,0.42630595282780526,0.20732672902152505,0.2395042306625772,0.01003161686307763,0.049888316770927865
2.18,2.17,2.04,0.36,1.66,0.19,0.3384476205871527,0.19125821004859667,0.27380586821466624,0.010505513466019245,0.4025582355146575,0.294469502161681,0.049954452294386
